,Hotel,Ubicacion,Direccion,Estrellas,Longitud,Latitud
102,Hotel Rumi Punku,"Cusco a 0,33 km del centro","Calle Choquechaca 339, Cusco , Cusco (Peru)",2,-71.97666,-13.51422
103,Hotel Palacio Manco Capac,"Cusco a 0,43 km del centro","Quinta Qolqampata S/N, Barrio San Cristóbal, Cusco Cusco, Cusco (Peru)",4,-71.9616,-13.52375
104,Bed & Breakfast Pisko & Soul,"Cusco a 0,38 km del centro","Carmen Alto 294, San Blas, Cusco 084, Cusco (Peru)",-1,-71.97618,-13.51364
105,Hotel Siete Ventanas,"Cusco a 0,25 km del centro","Calle Siete Ventanas 207, Cusco cusco01, Cusco (Peru)",3,-71.97496,-13.51647
106,Hotel Amerinka Boutique,"Cusco a 0,27 km del centro","CALLE MARQUEZ 272, Cusco 01, Cusco (Peru)",3,-71.98048,-13.51871
107,Antares Mystic Hotel,"Cusco a 0,61 km del centro","Cascaparo, 172, Cusco Cusc 01, Cusco (Peru)",2,-71.98257,-13.52166
108,Posada Kuska Hostal,"Cusco a 0,22 km del centro","Huaynapata 245, Cusco Cusco, Cusco (Peru)",-1,-71.9791,-13.51464
109,Albergue Piuray Hostal Cusco,"Cusco a 0,75 km del centro","Picchu San Martin Av. Tupac Amaru C-4, Cusco Cusc 01, Cusco (Peru)",-1,-71.90555,-13.53982
110,Imagen Plaza Hotel,"Cusco a 0,8 km del centro","Calle Tupac Yupanqui Numero 391, Templo - Plaza Recoleta, Cusco, Cusco Cusc 01, Cusco (Peru)",1,-71.96724,-13.51617
111,Hostal Mamaquqa,"Cusco a 0,31 km del centro","Av. Arcopata 335, Cusco Cuz 01, Cusco (Peru)",-1,-71.98413,-13.516
112,Hostal Conde Meloc,"Cusco a 0,25 km del centro","Calle Meloc 420, Cusco 084, Cusco (Peru)",-1,-71.98318,-13.51644
113,Posada Conquista Cusco,"Cusco a 0,46 km del centro","Calle Saphi 726 A, Cusco Cusc84, Cusco (Peru)",-1,-71.98279,-13.51325
114,A1 Apartments,"Cusco a 1,5 km del centro","Av. Los Incas 1044, Cusco , Cusco (Peru)",-1,-71.95927,-13.52403
115,Hotel Midori,"Cusco a 0,13 km del centro","Calle Ataud 204, Cusco 84, Cusco (Peru)",3,-71.97851,-13.51517
116,Mirador Apart Hotel Cusco,"Cusco a 1,18 km del centro","Avenida Argentina J-9 Cusco, Cusco , Cusco (Peru)",-1,-71.95794,-13.5173
117,Agroturismo Albergue Turistico Casa Campesina,"Cusco a 0,25 km del centro","Avenida Tullumayo, 274, Cusco Cusco, Cusco (Peru)",-1,-71.97515,-13.51651
118,Apartamento Cities Of The World - Hotel Cusco,"Cusco a 0,51 km del centro","Tandapata 370 - San Blas, Cusco Cusco, Cusco (Peru)",-1,-71.97356,-13.51523
119,Bed & Breakfast Samana Inn & Spa,"Cusco a 0,29 km del centro","Calle Tecsecocha 536, Cusco 08001, Cusco (Peru)",-1,-71.9811,-13.51425
120,Hostal Maison Fortaleza,"Cusco a 0,43 km del centro","Calle Pumacurco 567, Cusco Cusc 01, Cusco (Peru)",-1,-71.9784,-13.51284
121,Hostal Llipimpac Guesthouse,"Cusco a 0,44 km del centro","Limacpampa Chico, 400 - 2º Patio, Cusco 84, Cusco (Peru)",-1,-71.97343,-13.51951
122,Hotel Suenos Del Inka,"Cusco a 0,24 km del centro","Calle Warankallki 185, Cusco 84, Cusco (Peru)",3,-71.97528,-13.51608
123,Hotel Eureka San Blas,"Cusco a 0,31 km del centro","Calle Chihuanpata, 591 - San Blas, Cusco , Cusco (Peru)",3,-71.97373,-13.51629
124,Hotel Garcilaso I,"Cusco a 0,16 km del centro","Calle Garcilaso 233, Cusco 00084, Cusco (Peru)",3,-71.98101,-13.51785
125,Cusco Bed And Breakfast,"Cusco a 0,47 km del centro","Calle Union #140, Cusco , Cusco (Peru)",-1,-71.98344,-13.51993
126,Hotel Hostal Saphi - Excelente UbicaciÃ³n,"Cusco a 0,33 km del centro","Calle Saphi Nº107, Cusco CUZ01, Cusco (Peru)",2,-71.98279,-13.51325
127,Kokopelli Hostel Cusco,"Cusco a 0,36 km del centro","Calle San Andres 260, Cusco Cusc 01, Cusco (Peru)",-1,-71.97857,-13.51964
128,Hotel Warari,"Cusco a 0,9 km del centro","Av. Tullumayo 909, Cusco Cusco, Cusco (Peru)",3,-71.9736,-13.52063
129,Tandapata Boutique Hotel,"Cusco a 0,36 km del centro","Tandapata N° 648 San Blas, Cusco Cusc 01, Cusco (Peru)",-1,-71.97584,-13.51279
130,Julia's Hotel,"Cusco a 3,7 km del centro","Agua Buena F4-B, Cusco 0000, Cusco (Peru)",2,-71.95713,-13.52413
131,Bed & Breakfast Kukuli Lodge,"Cusco a 1,59 km del centro","520 Av. Tomasa Ttito Condemayta, Cusco Cusc 01, Cusco (Peru)",-1,-71.96376,-13.51792
132,Florida Del Inca Hotel,"Cusco a 1,96 km del centro","Avenida los Cipreces M-21, Cuzco, Cusco 084CUZ, Cusco (Peru)",3,-71.9932,-13.52055
133,Hostal LeonardÂŽs Lodgings,"Cusco a 0,84 km del centro","Av. Pardo N°820, Cusco , Cusco (Peru)",-1,-71.97512,-13.52357
134,Hotel La Posada De Atahualpa,"Cusco a 0,71 km del centro","Jr. Atahualpa No 405-A, Cusco 84, Cusco (Peru)",3,-71.96738,-13.51667
135,Posada Hosteria De Anita,"Cusco a 0,27 km del centro","Alabado, 525, Cusco 84, Cusco (Peru)",-1,-71.96977,-13.52864
136,Bed & Breakfast Inka Walker,"Cusco a 0,16 km del centro","Calle Santa Catalina Ancha 380, Cusco Cusc 01, Cusco (Peru)",-1,-71.97638,-13.51692
137,Hotel San Jeronimo,"Cusco a 6,75 km del centro","Calle Romeritos S/N Fundo Buena Vista san jeronimo, Cusco 084, Cusco (Peru)",3,-71.88075,-13.54678
138,Hostal Chakana Hostel,"Cusco a 0,9 km del centro","Av. Huascar, 246-B, Cusco sn, Cusco (Peru)",-1,-71.97201,-13.52301
139,Hostal Cusco Plaza II,"Cusco a 0,27 km del centro","Calle Saphy 486, Cusco 08*, Cusco (Peru)",-1,-71.98134,-13.51479
140,Awkis Dream Hotel,"Cusco a 7528,41 km del centro","C/ Collacalle 310-312, Cusco CUSCO 01, Cusco (Peru)",3,-71.97318,-13.51815
141,Hostal Madre Tierra,"Cusco a 0,37 km del centro","C/ Atocsaycuchi 647 A, San Blas, Cusco 084, Cusco (Peru)",-1,-71.97622,-13.51343
142,Wifala Thematic Hotel Boutique,"Cusco a 0,8 km del centro","Jr. Tetecaca 111, Cusco 01, Cusco (Peru)",-1,-71.97852,-13.51643
143,Unaytambo Boutique Hotel,"Cusco a 0,4 km del centro","Pasaje Romeritos 402, Cusco Cusco 01, Cusco (Peru)",3,-71.97539,-13.5191
144,Hotel Tornado,"Cusco a 24,84 km del centro","Av. Concha Tupac S/n Con Bolivar Urubamb, Cusco 084, Cusco (Peru)",3,-71.94108,-13.5283
145,Albergue Milhouse Backpackers & Hotel,"Cusco a 0,36 km del centro","Calle Quera 270, Cusco 605305, Cusco (Peru)",-1,-71.97969,-13.51993
146,Posada Chakana House,"Cusco a 0,29 km del centro","Tecsecocha 490-B, Cusco 00000000, Cusco (Peru)",-1,-71.9809,-13.51445
147,Keros B&B,"Cusco a 1,9 km del centro","Av. Industrial I-21 - Bancopata - Santiago, Cusco 051, Cusco (Peru)",-1,-71.97231,-13.53328
